20260202_120230|SISTEMA|INICIO|Inicio del proceso de extracción
20260202_120917|57.1_SMVMM_0_M_34|OK|Encontrado en empleo_ingresos.xlsx. Registros: 733
20260202_120918|58.1_MP_0_M_24|OK|Encontrado en empleo_ingresos.xlsx. Registros: 661
20260202_120918|60.1_IH_0_0_18|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260202_120918|60.1_PH_0_0_14|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260202_120919|60.1_IP_0_0_20|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260202_120919|60.1_PP_0_0_15|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260202_120919|145.1_IPC_NG_NACNAL_DICI_T_15|OK|Encontrado en precios.xlsx. Registros: 35
20260202_120919|147.1_IPC_BIENESNAL_DICI_T_19|OK|Encontrado en precios.xlsx. Registros: 36
20260202_120919|147.1_IPC_SERVICNAL_DICI_T_22|OK|Encontrado en precios.xlsx. Registros: 36
20260202_120919|148.1_IPC_NIVEL_NAL_DICI_T_26|OK|Encontrado en precios.xlsx. Registros: 32
20260202_120919|114.1_CPA_0_0_25|OK|Encontrado en precios.xlsx. Registros: 24
20260202_120919|116.1_TCRMA_0_A_36|OK|Encontrado en precios.xlsx. Registros: 28
20260202_120919|117.1_ENGV_0_A_33|OK|Encontrado en precios.xlsx. Registros: 35
20260202_120919|117.1_ENGC_0_A_36|OK|Encontrado en precios.xlsx. Registros: 35
20260202_120919|118.1_INGV_0_A_33|OK|Encontrado en precios.xlsx. Registros: 35
20260202_120919|118.1_INGC_0_A_36|OK|Encontrado en precios.xlsx. Registros: 35
